"id","labels","properties"
"0e2cd298-55a2-5bbd-a411-538c711dd02a","Actor","{""name"": ""Mark Twain"", ""description"": ""Author"", ""chapter"": ""Preamble"", ""chunk"": ""In this book a number of dialects are used, to wit: the Missouri negro\\ndialect; the extremest form of the backwoods Southwestern dialect; the\\nordinary \u201cPike County\u201d dialect; and four modified varieties of this\\nlast. The shadings have not been done in a haphazard fashion, or by\\nguesswork; but painstakingly, and with the trustworthy guidance and\\nsupport of personal familiarity with these several forms of speech."", ""chunk_order_number"": 8, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"51bc0c71-321c-5202-8c83-f2a3ce8c7fc5","Chunk","{""name"": ""Chunk 9"", ""description"": ""Text segment"", ""chapter"": ""Preamble"", ""chunk"": ""I make this explanation for the reason that without it many readers\\nwould suppose that all these characters were trying to talk alike and\\nnot succeeding."", ""chunk_order_number"": 9, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"3bee809a-a040-56a3-b859-1dc5df8b99bd","Chunk","{""name"": ""THE AUTHOR."", ""description"": ""First chunk of the text"", ""chapter"": ""Preamble"", ""chunk"": ""THE AUTHOR."", ""chunk_order_number"": 10, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"d5eb009e-c9c3-5c37-9c0e-1b5abfcb6378","Chunk","{""chunk_order_number"": 11, ""name"": ""HUCKLEBERRY FINN"", ""description"": ""Text segment from Preamble"", ""chapter"": ""Preamble"", ""chunk"": ""HUCKLEBERRY FINN"", ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2024-10-27T10:00:00Z""}"
"afa1b844-7654-5421-8417-205dd1677a49","Chunk","{""chunk_order_number"": 12, ""name"": ""Chunk 12"", ""description"": ""Scene setting the time and location"", ""chapter"": ""Preamble"", ""chunk"": ""Scene: The Mississippi Valley Time: Forty to fifty years ago"", ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"dbfcb2dc-979f-5daf-a077-53288a7108ec","Location","{""name"": ""Mississippi Valley"", ""description"": ""Geographical area"", ""chapter"": ""Preamble"", ""chunk"": ""Scene: The Mississippi Valley Time: Forty to fifty years ago"", ""chunk_order_number"": 12, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"50268126-df67-53ee-bb31-87090336658d","Event","{""name"": ""Setting the scene"", ""description"": ""The action of setting the scene"", ""chapter"": ""Preamble"", ""chunk"": ""Scene: The Mississippi Valley Time: Forty to fifty years ago"", ""chunk_order_number"": 12, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"d3cdfa5b-eeb7-59fb-afef-09fee86196ea","Chapter","{""name"": ""CHAPTER I."", ""description"": ""First chapter of the book"", ""chapter"": ""CHAPTER I."", ""chunk"": ""You don\u2019t know about me without you have read a book by the name of The\\nAdventures of Tom Sawyer; but that ain\u2019t no matter. That book was made\\nby Mr. Mark Twain, and he told the truth, mainly. There was things\\nwhich he stretched, but mainly he told the truth. That is nothing. I\\nnever seen anybody but lied one time or another, without it was Aunt\\nPolly, or the widow, or maybe Mary. Aunt Polly\u2014Tom\u2019s Aunt Polly, she\\nis\u2014and Mary, and the Widow Douglas is all told about in that book,\\nwhich is mostly a true book, with some stretchers, as I said before."", ""chunk_order_number"": 13, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"1fa3dc66-2be4-5278-8fae-4a8a0da871d1","Chunk","{""chunk_order_number"": 13, ""name"": ""Chunk 13"", ""description"": ""Text segment from the first chapter"", ""chapter"": ""CHAPTER I."", ""chunk"": ""You don\u2019t know about me without you have read a book by the name of The\\nAdventures of Tom Sawyer; but that ain\u2019t no matter. That book was made\\nby Mr. Mark Twain, and he told the truth, mainly. There was things\\nwhich he stretched, but mainly he told the truth. That is nothing. I\\nnever seen anybody but lied one time or another, without it was Aunt\\nPolly, or the widow, or maybe Mary. Aunt Polly\u2014Tom\u2019s Aunt Polly, she\\nis\u2014and Mary, and the Widow Douglas is all told about in that book,\\nwhich is mostly a true book, with some stretchers, as I said before."", ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"c1e8b72b-ee1d-5fe8-8e33-2b28bee79ed4","Object","{""name"": ""book"", ""description"": ""The Adventures of Tom Sawyer book"", ""chapter"": ""CHAPTER I."", ""chunk"": ""You don\u2019t know about me without you have read a book by the name of The\\nAdventures of Tom Sawyer; but that ain\u2019t no matter. That book was made\\nby Mr. Mark Twain, and he told the truth, mainly. There was things\\nwhich he stretched, but mainly he told the truth. That is nothing. I\\nnever seen anybody but lied one time or another, without it was Aunt\\nPolly, or the widow, or maybe Mary. Aunt Polly\u2014Tom\u2019s Aunt Polly, she\\nis\u2014and Mary, and the Widow Douglas is all told about in that book,\\nwhich is mostly a true book, with some stretchers, as I said before."", ""chunk_order_number"": 13, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"e0c0662f-8c61-5ae5-9cdf-1494bb0b953c","Actor","{""name"": ""Aunt Polly"", ""description"": ""Tom's aunt"", ""chapter"": ""CHAPTER I."", ""chunk"": ""You don\u2019t know about me without you have read a book by the name of The\\nAdventures of Tom Sawyer; but that ain\u2019t no matter. That book was made\\nby Mr. Mark Twain, and he told the truth, mainly. There was things\\nwhich he stretched, but mainly he told the truth. That is nothing. I\\nnever seen anybody but lied one time or another, without it was Aunt\\nPolly, or the widow, or maybe Mary. Aunt Polly\u2014Tom\u2019s Aunt Polly, she\\nis\u2014and Mary, and the Widow Douglas is all told about in that book,\\nwhich is mostly a true book, with some stretchers, as I said before."", ""chunk_order_number"": 13, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"e9e2e783-85a6-5f68-8f94-b13019061e39","Actor","{""name"": ""Widow"", ""description"": ""Widow Douglas"", ""chapter"": ""CHAPTER I."", ""chunk"": ""You don\u2019t know about me without you have read a book by the name of The\\nAdventures of Tom Sawyer; but that ain\u2019t no matter. That book was made\\nby Mr. Mark Twain, and he told the truth, mainly. There was things\\nwhich he stretched, but mainly he told the truth. That is nothing. I\\nnever seen anybody but lied one time or another, without it was Aunt\\nPolly, or the widow, or maybe Mary. Aunt Polly\u2014Tom\u2019s Aunt Polly, she\\nis\u2014and Mary, and the Widow Douglas is all told about in that book,\\nwhich is mostly a true book, with some stretchers, as I said before."", ""chunk_order_number"": 13, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"e8dbb174-988e-5178-a37d-27d783f7c568","Actor","{""name"": ""Mary"", ""description"": ""Mary, mentioned in the text"", ""chapter"": ""CHAPTER I."", ""chunk"": ""You don\u2019t know about me without you have read a book by the name of The\\nAdventures of Tom Sawyer; but that ain\u2019t no matter. That book was made\\nby Mr. Mark Twain, and he told the truth, mainly. There was things\\nwhich he stretched, but mainly he told the truth. That is nothing. I\\nnever seen anybody but lied one time or another, without it was Aunt\\nPolly, or the widow, or maybe Mary. Aunt Polly\u2014Tom\u2019s Aunt Polly, she\\nis\u2014and Mary, and the Widow Douglas is all told about in that book,\\nwhich is mostly a true book, with some stretchers, as I said before."", ""chunk_order_number"": 13, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"f33d7b41-9f78-5b80-9170-5a01af792f0c","Intangible","{""name"": ""truth"", ""description"": ""Truth, as conveyed in the book"", ""chapter"": ""CHAPTER I."", ""chunk"": ""You don\u2019t know about me without you have read a book by the name of The\\nAdventures of Tom Sawyer; but that ain\u2019t no matter. That book was made\\nby Mr. Mark Twain, and he told the truth, mainly. There was things\\nwhich he stretched, but mainly he told the truth. That is nothing. I\\nnever seen anybody but lied one time or another, without it was Aunt\\nPolly, or the widow, or maybe Mary. Aunt Polly\u2014Tom\u2019s Aunt Polly, she\\nis\u2014and Mary, and the Widow Douglas is all told about in that book,\\nwhich is mostly a true book, with some stretchers, as I said before."", ""chunk_order_number"": 13, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"9831238c-eaa0-5c38-bcd6-65daaf28676a","Intangible","{""name"": ""lies"", ""description"": ""Lies, as conveyed in the book"", ""chapter"": ""CHAPTER I."", ""chunk"": ""You don\u2019t know about me without you have read a book by the name of The\\nAdventures of Tom Sawyer; but that ain\u2019t no matter. That book was made\\nby Mr. Mark Twain, and he told the truth, mainly. There was things\\nwhich he stretched, but mainly he told the truth. That is nothing. I\\nnever seen anybody but lied one time or another, without it was Aunt\\nPolly, or the widow, or maybe Mary. Aunt Polly\u2014Tom\u2019s Aunt Polly, she\\nis\u2014and Mary, and the Widow Douglas is all told about in that book,\\nwhich is mostly a true book, with some stretchers, as I said before."", ""chunk_order_number"": 13, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"69e4974f-ac80-5cb1-b9fd-b03f4b7ca917","Chunk","{""chunk_order_number"": 14, ""name"": ""Chunk 14"", ""description"": ""Text passage from Chapter I"", ""chapter"": ""CHAPTER I."", ""chunk"": ""Now the way that the book winds up is this: Tom and me found the money\\nthat the robbers hid in the cave, and it made us rich. We got six\\nthousand dollars apiece\u2014all gold. It was an awful sight of money when\\nit was piled up. Well, Judge Thatcher he took it and put it out at\\ninterest, and it fetched us a dollar a day apiece all the year\\nround\u2014more than a body could tell what to do with. The Widow Douglas\\nshe took me for her son, and allowed she would sivilize me; but it was\\nrough living in the house all the time, considering how dismal regular\\nand decent the widow was in all her ways; and so when I couldn\u2019t stand\\nit no longer I lit out. I got into my old rags and my sugar-hogshead\\nagain, and was free and satisfied. But Tom Sawyer he hunted me up and\\nsaid he was going to start a band of robbers, and I might join if I\\nwould go back to the widow and be respectable. So I went back."", ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"51a17aa9-af7b-5ec4-896c-4ee7ce8eb1c0","Actor","{""name"": ""Tom"", ""description"": ""Character in the novel"", ""chapter"": ""CHAPTER I."", ""chunk"": ""Now the way that the book winds up is this: Tom and me found the money\\nthat the robbers hid in the cave, and it made us rich. We got six\\nthousand dollars apiece\u2014all gold. It was an awful sight of money when\\nit was piled up. Well, Judge Thatcher he took it and put it out at\\ninterest, and it fetched us a dollar a day apiece all the year\\nround\u2014more than a body could tell what to do with. The Widow Douglas\\nshe took me for her son, and allowed she would sivilize me; but it was\\nrough living in the house all the time, considering how dismal regular\\nand decent the widow was in all her ways; and so when I couldn\u2019t stand\\nit no longer I lit out. I got into my old rags and my sugar-hogshead\\nagain, and was free and satisfied. But Tom Sawyer he hunted me up and\\nsaid he was going to start a band of robbers, and I might join if I\\nwould go back to the widow and be respectable. So I went back."", ""chunk_order_number"": 14, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"0e96c551-8b5d-5739-bbe7-f4f518bc5356","Actor","{""name"": ""Huck"", ""description"": ""Character in the novel"", ""chapter"": ""CHAPTER I."", ""chunk"": ""Now the way that the book winds up is this: Tom and me found the money\\nthat the robbers hid in the cave, and it made us rich. We got six\\nthousand dollars apiece\u2014all gold. It was an awful sight of money when\\nit was piled up. Well, Judge Thatcher he took it and put it out at\\ninterest, and it fetched us a dollar a day apiece all the year\\nround\u2014more than a body could tell what to do with. The Widow Douglas\\nshe took me for her son, and allowed she would sivilize me; but it was\\nrough living in the house all the time, considering how dismal regular\\nand decent the widow was in all her ways; and so when I couldn\u2019t stand\\nit no longer I lit out. I got into my old rags and my sugar-hogshead\\nagain, and was free and satisfied. But Tom Sawyer he hunted me up and\\nsaid he was going to start a band of robbers, and I might join if I\\nwould go back to the widow and be respectable. So I went back."", ""chunk_order_number"": 14, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"5d3461c1-3611-5a7e-a57a-d3f3c671440b","Object","{""name"": ""money"", ""description"": ""The money found in the cave"", ""chapter"": ""CHAPTER I."", ""chunk"": ""Now the way that the book winds up is this: Tom and me found the money\\nthat the robbers hid in the cave, and it made us rich. We got six\\nthousand dollars apiece\u2014all gold. It was an awful sight of money when\\nit was piled up. Well, Judge Thatcher he took it and put it out at\\ninterest, and it fetched us a dollar a day apiece all the year\\nround\u2014more than a body could tell what to do with. The Widow Douglas\\nshe took me for her son, and allowed she would sivilize me; but it was\\nrough living in the house all the time, considering how dismal regular\\nand decent the widow was in all her ways; and so when I couldn\u2019t stand\\nit no longer I lit out. I got into my old rags and my sugar-hogshead\\nagain, and was free and satisfied. But Tom Sawyer he hunted me up and\\nsaid he was going to start a band of robbers, and I might join if I\\nwould go back to the widow and be respectable. So I went back."", ""chunk_order_number"": 14, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"9ca84931-2199-5d63-a78d-0fb11145f47a","Object","{""name"": ""sugar-hogshead"", ""description"": ""Huck's shelter"", ""chapter"": ""CHAPTER I."", ""chunk"": ""Now the way that the book winds up is this: Tom and me found the money\\nthat the robbers hid in the cave, and it made us rich. We got six\\nthousand dollars apiece\u2014all gold. It was an awful sight of money when\\nit was piled up. Well, Judge Thatcher he took it and put it out at\\ninterest, and it fetched us a dollar a day apiece all the year\\nround\u2014more than a body could tell what to do with. The Widow Douglas\\nshe took me for her son, and allowed she would sivilize me; but it was\\nrough living in the house all the time, considering how dismal regular\\nand decent the widow was in all her ways; and so when I couldn\u2019t stand\\nit no longer I lit out. I got into my old rags and my sugar-hogshead\\nagain, and was free and satisfied. But Tom Sawyer he hunted me up and\\nsaid he was going to start a band of robbers, and I might join if I\\nwould go back to the widow and be respectable. So I went back."", ""chunk_order_number"": 14, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"ce91e215-ec47-50e9-a6d9-736cdf4f3a0a","Actor","{""name"": ""Judge Thatcher"", ""description"": ""Character in the novel"", ""chapter"": ""CHAPTER I."", ""chunk"": ""Now the way that the book winds up is this: Tom and me found the money\\nthat the robbers hid in the cave, and it made us rich. We got six\\nthousand dollars apiece\u2014all gold. It was an awful sight of money when\\nit was piled up. Well, Judge Thatcher he took it and put it out at\\ninterest, and it fetched us a dollar a day apiece all the year\\nround\u2014more than a body could tell what to do with. The Widow Douglas\\nshe took me for her son, and allowed she would sivilize me; but it was\\nrough living in the house all the time, considering how dismal regular\\nand decent the widow was in all her ways; and so when I couldn\u2019t stand\\nit no longer I lit out. I got into my old rags and my sugar-hogshead\\nagain, and was free and satisfied. But Tom Sawyer he hunted me up and\\nsaid he was going to start a band of robbers, and I might join if I\\nwould go back to the widow and be respectable. So I went back."", ""chunk_order_number"": 14, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"2ed0cf87-2cfa-5c29-af54-5bdb1bb5682a","Actor","{""name"": ""Widow Douglas"", ""description"": ""Character in the novel"", ""chapter"": ""CHAPTER I."", ""chunk"": ""Now the way that the book winds up is this: Tom and me found the money\\nthat the robbers hid in the cave, and it made us rich. We got six\\nthousand dollars apiece\u2014all gold. It was an awful sight of money when\\nit was piled up. Well, Judge Thatcher he took it and put it out at\\ninterest, and it fetched us a dollar a day apiece all the year\\nround\u2014more than a body could tell what to do with. The Widow Douglas\\nshe took me for her son, and allowed she would sivilize me; but it was\\nrough living in the house all the time, considering how dismal regular\\nand decent the widow was in all her ways; and so when I couldn\u2019t stand\\nit no longer I lit out. I got into my old rags and my sugar-hogshead\\nagain, and was free and satisfied. But Tom Sawyer he hunted me up and\\nsaid he was going to start a band of robbers, and I might join if I\\nwould go back to the widow and be respectable. So I went back."", ""chunk_order_number"": 14, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"6bd25ed1-5cb5-5e5f-a23c-b0147bd4c35c","Intangible","{""name"": ""respectable"", ""description"": ""The concept of being respectable"", ""chapter"": ""CHAPTER I."", ""chunk"": ""Now the way that the book winds up is this: Tom and me found the money\\nthat the robbers hid in the cave, and it made us rich. We got six\\nthousand dollars apiece\u2014all gold. It was an awful sight of money when\\nit was piled up. Well, Judge Thatcher he took it and put it out at\\ninterest, and it fetched us a dollar a day apiece all the year\\nround\u2014more than a body could tell what to do with. The Widow Douglas\\nshe took me for her son, and allowed she would sivilize me; but it was\\nrough living in the house all the time, considering how dismal regular\\nand decent the widow was in all her ways; and so when I couldn\u2019t stand\\nit no longer I lit out. I got into my old rags and my sugar-hogshead\\nagain, and was free and satisfied. But Tom Sawyer he hunted me up and\\nsaid he was going to start a band of robbers, and I might join if I\\nwould go back to the widow and be respectable. So I went back."", ""chunk_order_number"": 14, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"f610f2cf-ea5a-5321-b46a-a12866d764aa","Event","{""name"": ""found the money"", ""description"": ""The act of finding the money"", ""chapter"": ""CHAPTER I."", ""chunk"": ""Now the way that the book winds up is this: Tom and me found the money\\nthat the robbers hid in the cave, and it made us rich. We got six\\nthousand dollars apiece\u2014all gold. It was an awful sight of money when\\nit was piled up. Well, Judge Thatcher he took it and put it out at\\ninterest, and it fetched us a dollar a day apiece all the year\\nround\u2014more than a body could tell what to do with. The Widow Douglas\\nshe took me for her son, and allowed she would sivilize me; but it was\\nrough living in the house all the time, considering how dismal regular\\nand decent the widow was in all her ways; and so when I couldn\u2019t stand\\nit no longer I lit out. I got into my old rags and my sugar-hogshead\\nagain, and was free and satisfied. But Tom Sawyer he hunted me up and\\nsaid he was going to start a band of robbers, and I might join if I\\nwould go back to the widow and be respectable. So I went back."", ""chunk_order_number"": 14, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
